,diff,Assay ID,SMILES
431,0.039285977692045115,CHEMBL3431937,"COc1cccc2c1CCN(C(=O)[C]1CCCCN1C(=O)COc1ccccc1)C2	
"
685,0.03995397031005865,CHEMBL905613,"Clc1ccc(cc1)N	
"
546,0.04002772149576561,CHEMBL3431937,"C[C]1CN(S(=O)(=O)c2cc(Cl)ccc2OC)c2c1ccc(C(=O)Nc1ccc(C(=O)[O-])cc1)c2	
"
508,0.04022256091248,CHEMBL3431937,"CN(S(=O)(=O)c1cc(Cl)ccc1OC)c1cc(C(=O)Nc2ccc(C(=O)[O-])cc2)cc2c1OCO2	
"
673,0.04064013602409666,CHEMBL905613,"O(C[C](C[NH2+][C](C)C)O)c1ccc(CCOC)cc1	
"
90,0.0407317852369502,CHEMBL1034536,"C(=O)(c1c(Cl)cc(SCCCCCC)cc1Cl)CC[NH+](C)C	
"
312,0.04096008540405016,CHEMBL3431937,"c1ccc(OCC(=O)N2CCCC[C]2c2nc(c3cccc([N+](=O)[O-])n3)no2)cc1	
"
540,0.04097037236285761,CHEMBL3431937,"CCCN(S(=O)(=O)c1cc(Cl)ccc1OC)c1cc(C(=O)Nc2ncc(CC(=O)[O-])s2)cc2c1OCO2	
"
482,0.041301960464806164,CHEMBL3431937,"Cc1cc(C)cc(S(=O)(=O)N2CCS(=O)c3c2cc(C(=O)Nc2ccc(C(=O)[O-])cc2)cc3)c1	
"
457,0.041413735374984384,CHEMBL3431937,"c1ccc(OCC(=O)N2CCCC[C]2c2nc(c3cccc(N4CCCC4=O)c3)no2)cc1	
"
704,0.041683526340211774,CHEMBL905613,"c1c(cccc1Cl)N	
"
340,0.04169159690230284,CHEMBL3431937,"Cc1cc(C)cc(S(=O)(=O)n2ccc3c2cc(C(=O)Nc2ccc(C(=O)[O-])cc2)cc3)c1	
"
213,0.04182540009831737,CHEMBL3431937,"c1ccc(OCC(=O)N2CCCC[C]2c2nc(c3ccc4cccnc4n3)on2)cc1	
"
327,0.04188144028833474,CHEMBL3431937,"CCN(C(=O)c1cc(c2nc([C]3CCCCN3C(=O)COc3ccccc3)on2)cnc1)CC	
"
652,0.04224760393300375,CHEMBL905613,"Nc1ccccc1	
"
396,0.04228613504883327,CHEMBL3431937,"c1ccc(CNC(=O)[C]2CCCCN2C(=O)COc2ccccc2)cc1	
"
479,0.04230112024087784,CHEMBL3431937,"Cc1cc(C)cc(S(=O)(=O)N2CCSc3c2cc(C(=O)Nc2ccc(C(=O)[O-])cc2)cc3)c1	
"
531,0.04252719943344907,CHEMBL3431937,"Cc1c(c2cccc(C(=O)[O-])c2)nc([C]2CCCCN2C(=O)COc2ccccc2)s1	
"
640,0.04259869390539084,CHEMBL905613,"c1cccc(Cl)c1N	
"
607,0.042767524066761986,CHEMBL905612,"[NH3+]CC(=O)N[C](Cc1c[nH]c2c1cccc2)C(=O)N	
"
31,0.04300867967827893,CHEMBL1034536,"C(=O)(c1c(Cl)c(Cl)c(S(=O)(=O)CCCCCC)cc1)CC[NH+]1CCOCC1	
"
271,0.043034546180326316,CHEMBL3431937,"c1cc(C(F)(F)F)cc(S(=O)(=O)N2CCCc3c2cc(C(=O)Nc2ccc(C(=O)[O-])c(F)c2)cc3)c1	
"
749,0.043161766588505124,Astellas,"C1(=O)NCCCOc2c(cccc2)C(=O)N[C](C(=O)O)CCC(=O)N[C]1Cc1ccccc1	
"
697,0.04365544222185225,CHEMBL905613,"c12c(cccc1cccc2)OC[C](O)C[NH2+][C](C)C	
"
220,0.04365751640228499,CHEMBL3431937,"C[C]1CN(S(=O)(=O)c2cc(Cl)ccc2OC)c2c1ccc(C(=O)Nc1ccc(C(=O)[O-])cc1)c2	
"
48,0.04377100497689046,CHEMBL1034536,"C(=O)(c1cc(F)c(OCCCCCC)cc1)CC[NH+](C)C	
"
621,0.044110612089417245,CHEMBL905613,"c1(=O)c(N(C)C)c(C)n(C)n1c1ccccc1	
"
449,0.04413132559293054,CHEMBL3431937,"c1ccc(OCC(=O)N2CCCC[C]2c2nc(c3cc([N+](=O)[O-])[nH]n3)on2)cc1	
"
646,0.04424334185708023,CHEMBL905613,"NS(=O)(=O)c1cc2c(NCNS2(=O)=O)cc1Cl	
"
71,0.04452331677769816,CHEMBL1034536,"C(=O)(c1c(Cl)cc(SCCCCCC)c(Cl)c1)CC[NH+](C)C	
"
293,0.04536193565328883,CHEMBL3431937,"COc1ccc(Cl)cc1S(=O)(=O)N1CCNc2c1cc(C(=O)Nc1ccc(C(=O)[O-])cc1)cc2	
"
793,0.04537697718663036,Enamine,"N1[C](C(=O)N[C]([C](O)C)C(=O)N[C](C(=O)N[C](C(=O)N[C](C(=O)N[C](C(=O)N[C](Cc2ccc3c(cccc3)c2)C(=O)N[C](C(=O)N[C](C(=O)N[C](CCCC)C(=O)N[C](C1=O)CCC(=O)N)Cc1ccc(F)cc1)CCCNC(=N)N)CCCNC(=N)N)CCCNC(=N)N)CCCNC(=N)N)C)Cc1c[nH]c2c1cccc2	
"
660,0.04539545296789971,CHEMBL905612,"c1ccc2c([nH]cc2CC[NH3+])c1	
"
199,0.04576978370831508,CHEMBL3431937,"CCn1cc(Sc2cc(Cl)ccc2OC)c2c1ccc(C(=O)Nc1ccc(C(=O)[O-])cc1)c2	
"
311,0.04612572891998212,CHEMBL3431937,"c1ccc(OCC(=O)N2CCCC[C]2c2[nH]nc(c3cccc(C(=O)N[NH3+])c3)n2)cc1	
"
121,0.04613925110597927,CHEMBL1034536,"C(=O)(c1ccc(OCCCCCC)cc1)[C](C)C[NH+](C)C	
"
95,0.046162030325698655,CHEMBL1034536,"C(=O)(c1c(Cl)cc(S(=O)(=O)CCCCCC)c(Cl)c1)CC[NH+]1CCOCC1	
"
413,0.04618410663711625,CHEMBL3431937,"Cn1cc(Cc2cc(Cl)ccc2OC)c2c1ccc(C(=O)Nc1nc(CC(=O)[O-])cs1)c2	
"
544,0.04632741711642563,CHEMBL3431937,"C[C]1CN(S(=O)(=O)c2cc(Cl)ccc2OC)c2c1ccc(C(=O)Nc1ccc(C(=O)[O-])c(F)c1)c2	
"
547,0.04653673987647,CHEMBL3431937,"c1ccc(OCC(=O)N2CCCC[C]2c2nc(c3cccc(OCC(=O)[O-])c3)no2)cc1	
"
440,0.0466374815235886,CHEMBL3431937,"c1ccc(OCC(=O)N2CCCC[C]2c2nc(c3cccc(n4cc[nH]c4=O)c3)on2)cc1	
"
691,0.04723893314350658,CHEMBL905613,"COc1nn(CSP(=S)(OC)OC)c(=O)s1	
"
722,0.04827456494160831,CHEMBL905613,"S1(=O)(=O)N(C)C(=C(O)c2c1cccc2)C(=O)Nc1ncccc1	
"
314,0.04829517858592869,CHEMBL3431937,"c1ccc(OCC(=O)N2CCCC[C]2c2[nH]nc(c3cccc(c4nnco4)c3)n2)cc1	
"
661,0.0483690850628955,CHEMBL905613,"O(C)c1cc(ccc1OC)[C@](CCC[N@H+](C)CCc1cc(c(cc1)OC)OC)(C#N)[C](C)C	
"
55,0.04853437520088644,CHEMBL1034536,"C(=O)(c1ccc(OCCCCCC)cc1)CC[NH+]1CCCC1	
"
280,0.04854160181866174,CHEMBL3431937,"CCOC(=O)c1cc(c2nc([C]3CCCCN3C(=O)COc3ccccc3)on2)cnc1	
"
624,0.04888237273101037,CHEMBL905613,"c1c(cccc1Cl)N	
"
3,0.04969248443954344,CHEMBL1034536,"C(=O)(c1cc(C)c(OCCCCCC)cc1)CC[NH+](C)C	
"
384,0.05001459102859762,CHEMBL3431937,"Cc1cc(C)cc(S(=O)(=O)N2CCOc3c2cc(C(=O)Nc2nc(CC(=O)[O-])cs2)cc3)c1	
"
774,0.05021018165923419,Astellas,"c1(cc(C)ccc1)CC(=O)N1Cc2c(Oc3ccccc3OCCCCCC1)nccc2	
"
519,0.05024914455472551,CHEMBL3431937,"COc1ccc(Cl)cc1S(=O)(=O)N1C[C](C(=O)[O-])Cc2c1cc(C(=O)Nc1ccccc1)cc2	
"
563,0.05033465329098785,CHEMBL3431937,"COc1ccc(Cl)cc1S(=O)(=O)N1COc2c1cc(C(=O)Nc1ccc(C(=O)[O-])cc1)cc2Cl	
"
695,0.05051961154349005,CHEMBL905613,"c1cccc(Nc2ccccc2C(=O)[O-])c1	
"
579,0.050853914674998,CHEMBL905613,"C1(=NCCN1)Nc1c(cccc1Cl)Cl	
"
13,0.05128011709348623,CHEMBL1034536,"C(=O)(c1c(Cl)c(Cl)c(S(=O)(=O)CCCCCC)cc1)CC[NH+](C)C	
"
341,0.051331224203623016,CHEMBL3431937,"c1ccc(OCC(=O)N2CCCC[C]2c2nc(c3ccc4c(NC(=O)CO4)c3)on2)cc1	
"
132,0.05147154301860901,CHEMBL3430218,"[C]1(CCCC[NH3+])NC(=O)[C](NC(=O)[C](NC(=O)[C]2CCCN2C(=O)[C](NC(=O)[C]([C](O)C)NC1=O)Cc1ccccc1)Cc1ccccc1)Cc1c[nH]c2c1cccc2	
"
779,0.05148317146533277,Astellas,"c1(C(=O)N2CCCC[C@@]3(CO)CCN(CC3)Cc3c(cccc3)OCC2)c(N)nccn1	
"
